abbr.;name;color;France;VT1;VT1 exp.;VT2;VT2 exp.;VT3;VT3 exp.
NDA;Nicolas Dupont-Aignan;0x0088c6;1695000;12;3;9;5;12;5
MLP;Marine Le Pen;0x83726d;7678491;45;8;54;7;52;11
EM;Emmanuel Macron;0xffd850;8656346;261;123;280;131;247;122
BH;Benoît Hamon;0xf39dc7;2291288;134;71;73;48;68;43
NA;Nathalie Arthaud;0xa21700;232384;5;1;3;2;3;1
PP;Philippe Pouton;0xf96f43;394505;5;1;5;2;5;2
JC;Jacques Cheminade;0x464a4c;65586;0;0;1;1;0;0
JL;Jean Lassalle;0xcee9f8;435301;3;2;4;0;5;2
JLM;Jean-Luc Mélenchon;0xde2707;7059951;362;167;176;90;143;88
FA;François Asselineau;0x131413;332547;3;0;5;2;4;2
FF;François Fillon;0x75bbe2;7212995;88;17;171;41;164;34
B;white vote;0xffffff;659997;7;3;9;3;6;4
NSPP;did not answer;;;;12;;9;;6